N ;K ;steps count simple ;time simple ;attitude simple ;;steps count optimized ;rectangles count ;time optimized ;attitude optimized ;
5000;5;;68;;;279960;55;7;2.50036e-05;
8000;5;;239;;;640009;163;17;2.65621e-05;
11000;5;;840;;;1326255;426;24;1.80961e-05;
14000;5;;823;;;2146999;718;32;1.49045e-05;
17000;5;;1494;;;3457178;1274;51;1.47519e-05;
20000;5;;2354;;;4906229;1978;72;1.46752e-05;
23000;5;;0;;;6678543;3028;98;1.46739e-05;
26000;5;;0;;;9339534;4322;139;1.4883e-05;
29000;5;;0;;;12221281;5739;174;1.42375e-05;
32000;5;;0;;;16652763;7897;251;1.50726e-05;
35000;5;;0;;;22711763;10761;318;1.40016e-05;
38000;5;;0;;;29918527;14248;417;1.39379e-05;
41000;5;;0;;;37688411;17605;509;1.35055e-05;
44000;5;;0;;;45916486;20906;606;1.31979e-05;
47000;5;;0;;;57219265;25249;745;1.30201e-05;
50000;5;;0;;;72272016;31051;932;1.28957e-05;
53000;5;;0;;;89639270;37453;1143;1.27511e-05;
56000;5;;0;;;111466336;45002;1408;1.26316e-05;
59000;5;;0;;;135468726;52358;1731;1.27779e-05;
62000;5;;0;;;161674230;60214;2043;1.26365e-05;
65000;5;;0;;;194984796;68685;2464;1.26369e-05;
68000;5;;0;;;230788371;78173;2978;1.29036e-05;
